행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단 (전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단 (전체)
1101057,종로구,무악동,1 ,65 ,154 ,27 ,3 ,1 ,4 ,1 ,2 ,1 ,1 ,1 ,2 ,2 
1101057,종로구,무악동,1 ,70 ,132 ,22 ,3 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,0 
1101057,종로구,무악동,1 ,75 ,177 ,50 ,0 ,1 ,7 ,0 ,0 ,0 ,0 ,2 ,3 ,0 
1101057,종로구,무악동,2 ,20 ,234 ,24 ,2 ,1 ,1 ,1 ,0 ,4 ,1 ,1 ,1 ,0 
1101057,종로구,무악동,2 ,25 ,233 ,30 ,4 ,3 ,3 ,3 ,11 ,8 ,4 ,3 ,1 ,8 
1101057,종로구,무악동,2 ,30 ,223 ,31 ,1 ,2 ,4 ,1 ,0 ,11 ,2 ,2 ,3 ,0 
1101057,종로구,무악동,2 ,35 ,307 ,38 ,3 ,1 ,3 ,0 ,0 ,12 ,2 ,1 ,2 ,0 
1101057,종로구,무악동,2 ,40 ,434 ,29 ,1 ,1 ,1 ,2 ,3 ,8 ,2 ,3 ,4 ,0 
1101057,종로구,무악동,2 ,45 ,346 ,22 ,1 ,2 ,1 ,1 ,4 ,6 ,2 ,1 ,1 ,4 
1101057,종로구,무악동,2 ,50 ,369 ,35 ,2 ,2 ,3 ,2 ,0 ,3 ,1 ,2 ,5 ,2 
1101057,종로구,무악동,2 ,55 ,325 ,31 ,3 ,2 ,2 ,2 ,5 ,2 ,4 ,2 ,4 ,5 
1101057,종로구,무악동,2 ,60 ,227 ,25 ,1 ,2 ,2 ,2 ,0 ,1 ,2 ,2 ,1 ,0 
1101057,종로구,무악동,2 ,65 ,208 ,46 ,6 ,1 ,5 ,2 ,0 ,1 ,2 ,6 ,5 ,0 
1101057,종로구,무악동,2 ,70 ,157 ,39 ,3 ,3 ,3 ,1 ,0 ,0 ,2 ,7 ,3 ,2 
1101057,종로구,무악동,2 ,75 ,290 ,96 ,1 ,1 ,3 ,1 ,0 ,0 ,1 ,3 ,4 ,4 
1101058,종로구,교남동,1 ,20 ,154 ,19 ,2 ,1 ,1 ,1 ,4 ,3 ,2 ,2 ,0 ,2 
1101058,종로구,교남동,1 ,25 ,158 ,23 ,4 ,2 ,2 ,2 ,2 ,6 ,4 ,2 ,2 ,7 
1101058,종로구,교남동,1 ,30 ,173 ,31 ,5 ,3 ,2 ,2 ,0 ,10 ,3 ,3 ,2 ,4 
1101058,종로구,교남동,1 ,35 ,187 ,30 ,5 ,2 ,3 ,1 ,1 ,12 ,3 ,3 ,2 ,1 
1101058,종로구,교남동,1 ,40 ,239 ,30 ,5 ,2 ,4 ,1 ,2 ,7 ,3 ,2 ,3 ,4 
1101058,종로구,교남동,1 ,45 ,213 ,26 ,3 ,2 ,3 ,1 ,2 ,5 ,2 ,2 ,2 ,3 
1101058,종로구,교남동,1 ,50 ,239 ,30 ,4 ,2 ,2 ,1 ,0 ,3 ,2 ,2 ,6 ,1 
1101058,종로구,교남동,1 ,55 ,180 ,24 ,3 ,1 ,2 ,1 ,3 ,2 ,2 ,2 ,2 ,2 
1101058,종로구,교남동,1 ,60 ,167 ,22 ,3 ,1 ,3 ,1 ,4 ,2 ,2 ,1 ,1 ,2 
1101058,종로구,교남동,1 ,65 ,146 ,31 ,3 ,1 ,5 ,0 ,0 ,1 ,1 ,1 ,3 ,0 
1101058,종로구,교남동,1 ,70 ,85 ,17 ,4 ,2 ,0 ,1 ,2 ,0 ,2 ,1 ,0 ,2 
1101058,종로구,교남동,1 ,75 ,138 ,46 ,1 ,1 ,5 ,0 ,5 ,0 ,0 ,1 ,3 ,1 
1101058,종로구,교남동,2 ,20 ,143 ,20 ,1 ,2 ,1 ,1 ,0 ,3 ,1 ,1 ,1 ,1 
1101058,종로구,교남동,2 ,25 ,169 ,27 ,3 ,2 ,2 ,2 ,4 ,8 ,3 ,3 ,2 ,7 
1101058,종로구,교남동,2 ,30 ,176 ,28 ,3 ,2 ,3 ,2 ,2 ,8 ,3 ,1 ,2 ,5 
1101058,종로구,교남동,2 ,35 ,212 ,31 ,1 ,1 ,1 ,1 ,1 ,9 ,2 ,2 ,2 ,1 
1101058,종로구,교남동,2 ,40 ,235 ,28 ,1 ,1 ,2 ,1 ,1 ,5 ,1 ,2 ,2 ,1 
1101058,종로구,교남동,2 ,45 ,239 ,29 ,2 ,2 ,1 ,2 ,1 ,4 ,2 ,2 ,1 ,1 
